X,ID,Title,Year,Age,IMDb,Rotten.Tomatoes,Type,Rotten_Tomatoes_new,IMDb_new,Platform
0,1,Breaking Bad,2008,18+,9.4/10,100/100,1,100,9.4,Netflix
1,2,Stranger Things,2016,16+,8.7/10,96/100,1,96,8.7,Netflix
2,3,Attack on Titan,2013,18+,9.0/10,95/100,1,95,9,Netflix
2,3,Attack on Titan,2013,18+,9.0/10,95/100,1,95,9,Hulu
3,4,Better Call Saul,2015,18+,8.8/10,94/100,1,94,8.8,Netflix
4,5,Dark,2017,16+,8.8/10,93/100,1,93,8.8,Netflix
5,6,Avatar: The Last Airbender,2005,7+,9.3/10,93/100,1,93,9.3,Netflix
5,6,Avatar: The Last Airbender,2005,7+,9.3/10,93/100,1,93,9.3,Prime.Video
6,7,Peaky Blinders,2013,18+,8.8/10,93/100,1,93,8.8,Netflix
7,8,The Walking Dead,2010,18+,8.2/10,93/100,1,93,8.2,Netflix
8,9,Black Mirror,2011,18+,8.8/10,92/100,1,92,8.8,Netflix
9,10,The Queen's Gambit,2020,18+,8.6/10,92/100,1,92,8.6,Netflix
10,11,Mindhunter,2017,18+,8.6/10,90/100,1,90,8.6,Netflix
11,12,Community,2009,7+,8.5/10,90/100,1,90,8.5,Netflix
11,12,Community,2009,7+,8.5/10,90/100,1,90,8.5,Hulu
11,12,Community,2009,7+,8.5/10,90/100,1,90,8.5,Prime.Video
12,13,Narcos,2015,18+,8.8/10,90/100,1,90,8.8,Netflix
13,14,Shameless,2011,18+,8.5/10,90/100,1,90,8.5,Netflix
13,14,Shameless,2011,18+,8.5/10,90/100,1,90,8.5,Hulu
13,14,Shameless,2011,18+,8.5/10,90/100,1,90,8.5,Prime.Video
14,15,Money Heist,2017,18+,8.3/10,90/100,1,90,8.3,Netflix
15,16,Marvel's Daredevil,2015,18+,8.6/10,90/100,1,90,8.6,Netflix
16,17,Lucifer,2016,16+,8.1/10,90/100,1,90,8.1,Netflix
17,18,Supernatural,2005,16+,8.4/10,89/100,1,89,8.4,Netflix
18,19,The Witcher,2019,18+,8.2/10,89/100,1,89,8.2,Netflix
19,20,Ozark,2017,18+,8.4/10,89/100,1,89,8.4,Netflix
20,21,The Crown,2016,18+,8.6/10,89/100,1,89,8.6,Netflix
21,22,Cobra Kai,2018,16+,8.6/10,89/100,1,89,8.6,Netflix
22,23,The Blacklist,2013,16+,8.0/10,88/100,1,88,8,Netflix
23,24,The Flash,2014,16+,7.6/10,88/100,1,88,7.6,Netflix
24,25,Outlander,2014,18+,8.4/10,88/100,1,88,8.4,Netflix
25,26,Fullmetal Alchemist: Brotherhood,2009,16+,9.1/10,88/100,1,88,9.1,Netflix
25,26,Fullmetal Alchemist: Brotherhood,2009,16+,9.1/10,88/100,1,88,9.1,Hulu
26,27,The Good Place,2016,16+,8.2/10,88/100,1,88,8.2,Netflix
27,28,House of Cards,2013,18+,8.7/10,88/100,1,88,8.7,Netflix
28,29,Atypical,2017,16+,8.3/10,88/100,1,88,8.3,Netflix
29,30,Grey's Anatomy,2005,16+,7.5/10,87/100,1,87,7.5,Netflix
29,30,Grey's Anatomy,2005,16+,7.5/10,87/100,1,87,7.5,Hulu
30,31,Arrested Development,2003,16+,8.7/10,87/100,1,87,8.7,Netflix
30,31,Arrested Development,2003,16+,8.7/10,87/100,1,87,8.7,Hulu
31,32,Lupin,2021,18+,7.5/10,87/100,1,87,7.5,Netflix
32,33,The Umbrella Academy,2019,16+,8.0/10,87/100,1,87,8,Netflix
33,34,Orange Is the New Black,2013,18+,8.0/10,87/100,1,87,8,Netflix
34,35,The Vampire Diaries,2009,16+,7.7/10,86/100,1,86,7.7,Netflix
35,36,Demon Slayer: Kimetsu no Yaiba,2019,18+,8.7/10,86/100,1,86,8.7,Netflix
35,36,Demon Slayer: Kimetsu no Yaiba,2019,18+,8.7/10,86/100,1,86,8.7,Hulu
36,37,The Last Dance,2020,16+,9.1/10,86/100,1,86,9.1,Netflix
37,38,American Horror Story,2011,18+,8.0/10,86/100,1,86,8,Netflix
37,38,American Horror Story,2011,18+,8.0/10,86/100,1,86,8,Hulu
37,38,American Horror Story,2011,18+,8.0/10,86/100,1,86,8,Prime.Video
38,39,Elite,2018,18+,7.5/10,86/100,1,86,7.5,Netflix
39,40,BoJack Horseman,2014,18+,8.7/10,86/100,1,86,8.7,Netflix
40,41,Star Trek: The Next Generation,1987,7+,8.6/10,86/100,1,86,8.6,Netflix
40,41,Star Trek: The Next Generation,1987,7+,8.6/10,86/100,1,86,8.6,Hulu
40,41,Star Trek: The Next Generation,1987,7+,8.6/10,86/100,1,86,8.6,Prime.Video
41,42,Broadchurch,2013,18+,8.4/10,86/100,1,86,8.4,Netflix
42,43,The IT Crowd,2006,16+,8.5/10,86/100,1,86,8.5,Netflix
43,44,When They See Us,2019,18+,8.9/10,86/100,1,86,8.9,Netflix
44,45,"Love, Death & Robots",2019,18+,8.5/10,86/100,1,86,8.5,Netflix
45,46,Schitt's Creek,2015,16+,8.5/10,86/100,1,86,8.5,Netflix
46,47,Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5/10,86/100,1,86,7.5,Netflix
47,48,Never Have I Ever,2020,16+,7.9/10,86/100,1,86,7.9,Netflix
48,49,The 100,2014,16+,7.6/10,86/100,1,86,7.6,Netflix
49,50,American Crime Story,2016,18+,8.4/10,85/100,1,85,8.4,Netflix
50,51,The Last Kingdom,2015,18+,8.4/10,85/100,1,85,8.4,Netflix
51,52,The End of the F***ing World,2017,18+,8.1/10,85/100,1,85,8.1,Netflix
52,53,New Girl,2011,16+,7.7/10,85/100,1,85,7.7,Netflix
53,54,Penny Dreadful,2014,18+,8.2/10,85/100,1,85,8.2,Netflix
53,54,Penny Dreadful,2014,18+,8.2/10,85/100,1,85,8.2,Prime.Video
54,55,One Piece,1999,7+,8.8/10,85/100,1,85,8.8,Netflix
54,55,One Piece,1999,7+,8.8/10,85/100,1,85,8.8,Hulu
55,56,Marvel's The Punisher,2017,18+,8.5/10,85/100,1,85,8.5,Netflix
56,57,Evil,2019,18+,7.7/10,85/100,1,85,7.7,Netflix
57,58,YOU,2018,18+,7.7/10,85/100,1,85,7.7,Netflix
58,59,Sense8,2015,18+,8.3/10,84/100,1,84,8.3,Netflix
59,60,Making a Murderer,2015,16+,8.6/10,84/100,1,84,8.6,Netflix
60,61,Unbelievable,2019,18+,8.4/10,84/100,1,84,8.4,Netflix
61,62,Arrow,2012,16+,7.5/10,84/100,1,84,7.5,Netflix
62,63,Sex Education,2019,18+,8.3/10,84/100,1,84,8.3,Netflix
63,64,Marvel's Jessica Jones,2015,18+,7.9/10,84/100,1,84,7.9,Netflix
64,65,Sweet Tooth,2021,16+,7.9/10,84/100,1,84,7.9,Netflix
65,66,Good Girls,2018,16+,7.8/10,84/100,1,84,7.8,Netflix
65,66,Good Girls,2018,16+,7.8/10,84/100,1,84,7.8,Hulu
66,67,Death Note,2006,16+,9.0/10,84/100,1,84,9,Netflix
66,67,Death Note,2006,16+,9.0/10,84/100,1,84,9,Hulu
67,68,Gilmore Girls,2000,16+,8.1/10,84/100,1,84,8.1,Netflix
68,69,The Legend of Korra,2012,7+,8.4/10,83/100,1,83,8.4,Netflix
69,70,How to Get Away with Murder,2014,16+,8.1/10,83/100,1,83,8.1,Netflix
69,70,How to Get Away with Murder,2014,16+,8.1/10,83/100,1,83,8.1,Hulu
70,71,Master of None,2015,18+,8.3/10,83/100,1,83,8.3,Netflix
71,72,Chappelle's Show,2003,18+,8.7/10,83/100,1,83,8.7,Netflix
72,73,One-Punch Man,2015,7+,8.8/10,83/100,1,83,8.8,Netflix
72,73,One-Punch Man,2015,7+,8.8/10,83/100,1,83,8.8,Hulu
73,74,Downton Abbey,2010,16+,8.7/10,83/100,1,83,8.7,Netflix
73,74,Downton Abbey,2010,16+,8.7/10,83/100,1,83,8.7,Prime.Video
74,75,Gotham,2014,16+,7.8/10,83/100,1,83,7.8,Netflix
75,76,Pose,2018,18+,8.6/10,83/100,1,83,8.6,Netflix
76,77,Bodyguard,2018,18+,8.1/10,83/100,1,83,8.1,Netflix
77,78,Altered Carbon,2018,18+,8.0/10,83/100,1,83,8,Netflix
78,79,Ash vs Evil Dead,2015,18+,8.4/10,83/100,1,83,8.4,Netflix
79,80,The Sinner,2017,16+,7.9/10,83/100,1,83,7.9,Netflix
80,81,Our Planet,2019,all,9.3/10,82/100,1,82,9.3,Netflix
81,82,Narcos: Mexico,2018,18+,8.4/10,82/100,1,82,8.4,Netflix
82,83,Shadow and Bone,2021,16+,7.7/10,82/100,1,82,7.7,Netflix
83,84,Castlevania,2017,18+,8.3/10,82/100,1,82,8.3,Netflix
84,85,Star Trek,1966,7+,8.3/10,82/100,1,82,8.3,Netflix
84,85,Star Trek,1966,7+,8.3/10,82/100,1,82,8.3,Hulu
84,85,Star Trek,1966,7+,8.3/10,82/100,1,82,8.3,Prime.Video
85,86,The Kominsky Method,2018,18+,8.2/10,82/100,1,82,8.2,Netflix
86,87,Hunter x Hunter,2011,16+,9.0/10,82/100,1,82,9,Netflix
86,87,Hunter x Hunter,2011,16+,9.0/10,82/100,1,82,9,Hulu
87,88,Dead to Me,2019,18+,8.0/10,82/100,1,82,8,Netflix
88,89,The Haunting of Hill House,2018,18+,8.6/10,82/100,1,82,8.6,Netflix
89,90,Russian Doll,2019,18+,7.9/10,82/100,1,82,7.9,Netflix
90,91,Kingdom,2019,18+,8.4/10,82/100,1,82,8.4,Netflix
90,91,Kingdom,2019,18+,8.4/10,82/100,1,82,8.4,Hulu
91,92,Neon Genesis Evangelion,1995,16+,8.5/10,82/100,1,82,8.5,Netflix
92,93,Naruto,2002,7+,8.3/10,81/100,1,81,8.3,Netflix
92,93,Naruto,2002,7+,8.3/10,81/100,1,81,8.3,Hulu
93,94,NCIS,2003,16+,7.7/10,81/100,1,81,7.7,Netflix
94,95,Manifest,2018,16+,7.2/10,81/100,1,81,7.2,Netflix
94,95,Manifest,2018,16+,7.2/10,81/100,1,81,7.2,Hulu
95,96,Halt and Catch Fire,2014,16+,8.4/10,81/100,1,81,8.4,Netflix
96,97,Monty Python's Flying Circus,1969,16+,8.8/10,81/100,1,81,8.8,Netflix
97,98,After Life,2019,18+,8.4/10,81/100,1,81,8.4,Netflix
98,99,Riverdale,2017,16+,6.8/10,81/100,1,81,6.8,Netflix
98,99,Riverdale,2017,16+,6.8/10,81/100,1,81,6.8,Hulu
99,100,Big Mouth,2017,18+,7.9/10,81/100,1,81,7.9,Netflix
100,101,I Think You Should Leave with Tim Robinson,2019,18+,7.8/10,81/100,1,81,7.8,Netflix
101,102,Derry Girls,2018,16+,8.4/10,81/100,1,81,8.4,Netflix
102,103,The Promised Neverland,2019,18+,8.5/10,81/100,1,81,8.5,Netflix
102,103,The Promised Neverland,2019,18+,8.5/10,81/100,1,81,8.5,Hulu
103,104,Lost in Space,2018,7+,7.3/10,80/100,1,80,7.3,Netflix
103,104,Lost in Space,2018,7+,7.3/10,80/100,1,80,7.3,Hulu
104,105,Star Trek: Deep Space Nine,1993,7+,8.0/10,80/100,1,80,8,Netflix
104,105,Star Trek: Deep Space Nine,1993,7+,8.0/10,80/100,1,80,8,Hulu
104,105,Star Trek: Deep Space Nine,1993,7+,8.0/10,80/100,1,80,8,Prime.Video
105,106,Jane the Virgin,2014,16+,7.8/10,80/100,1,80,7.8,Netflix
106,107,Godless,2017,18+,8.3/10,80/100,1,80,8.3,Netflix
107,108,The OA,2016,18+,7.8/10,80/100,1,80,7.8,Netflix
108,109,DC's Legends of Tomorrow,2016,16+,6.8/10,80/100,1,80,6.8,Netflix
109,110,Sacred Games,2018,18+,8.6/10,80/100,1,80,8.6,Netflix
110,111,iZombie,2015,16+,7.8/10,80/100,1,80,7.8,Netflix
111,112,Longmire,2012,16+,8.3/10,80/100,1,80,8.3,Netflix
112,113,Happy Endings,2011,16+,7.7/10,80/100,1,80,7.7,Netflix
112,113,Happy Endings,2011,16+,7.7/10,80/100,1,80,7.7,Hulu
113,114,Into the Badlands,2015,16+,8.0/10,80/100,1,80,8,Netflix
114,115,The Originals,2013,16+,8.2/10,80/100,1,80,8.2,Netflix
115,116,Anne with an E,2017,all,8.7/10,80/100,1,80,8.7,Netflix
116,117,Grace and Frankie,2015,18+,8.3/10,80/100,1,80,8.3,Netflix
117,118,Chilling Adventures of Sabrina,2018,16+,7.5/10,80/100,1,80,7.5,Netflix
118,119,Queen of the South,2016,16+,8.0/10,79/100,1,79,8,Netflix
119,120,A Series of Unfortunate Events,2017,7+,7.8/10,79/100,1,79,7.8,Netflix
120,121,Bridgerton,2020,,7.3/10,79/100,1,79,7.3,Netflix
121,122,Unorthodox,2020,18+,8.0/10,79/100,1,79,8,Netflix
122,123,Stargate SG-1,1997,13+,8.4/10,79/100,1,79,8.4,Netflix
122,123,Stargate SG-1,1997,13+,8.4/10,79/100,1,79,8.4,Hulu
